"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.12",49252,"1.2.7.170",443,2,206,1,136,1,70,0.020279,6.600000000000009e-05,0,0
"1.1.0.26",49645,"1.2.9.52",443,2,1545,1,1475,1,70,0.013217,6.100000000000029e-05,0,0
"1.1.0.92",3240,"1.2.179.237",443,2,1545,1,1475,1,70,0.011581,5.7000000000001494e-05,0,0
"1.1.0.132",4225,"1.2.191.199",443,2,1545,1,1475,1,70,0.000641,0.00014000000000000004,0,0
"1.1.0.158",3325,"1.2.8.59",443,2,1545,1,1475,1,70,0.007228,0.00012399999999999998,0,0
"1.1.0.169",49347,"1.2.8.5",443,2,206,1,136,1,70,0.017399,0.00010800000000000046,0,0
"1.1.0.178",49569,"1.2.8.229",443,2,1545,1,1475,1,70,0.00614,4.500000000000077e-05,0,0
"1.1.0.179",49426,"1.2.188.89",443,2,233,1,163,1,70,0.017696,2.9000000000001247e-05,0,0
"1.1.0.189",3369,"1.2.8.112",443,2,1545,1,1475,1,70,0.013987,3.900000000000084e-05,0,0
"1.1.0.199",49458,"1.2.8.117",443,2,1545,1,1475,1,70,0.007549,1.899999999999992e-05,0,0
"1.1.0.225",3552,"1.2.189.39",443,2,206,1,136,1,70,0.018744,6.199999999999956e-05,0,0
"1.1.0.229",49513,"1.2.188.154",443,2,1545,1,1475,1,70,0.015517,5.500000000000123e-05,0,0
"1.1.0.230",4698,"1.2.13.150",443,2,207,1,137,1,70,0.018066,0.00011900000000000105,0,0
"1.1.0.231",49462,"1.2.8.120",443,2,1545,1,1475,1,70,0.016379,5.2999999999997494e-05,0,0
"1.1.0.246",49488,"1.2.8.146",443,2,1545,1,1475,1,70,0.017805,8.79999999999978e-05,0,0
"1.1.1.0",49461,"1.2.188.122",443,2,206,1,136,1,70,0.014546,5.400000000000023e-05,0,0
"1.1.1.32",49595,"1.2.189.2",443,2,233,1,163,1,70,0.011209,0.00013200000000000017,0,0
"1.1.1.38",49555,"1.2.188.201",443,2,206,1,136,1,70,0.002127,7.900000000000008e-05,0,0
"1.1.1.38",3458,"1.2.188.196",443,2,233,1,163,1,70,0.011327,6.100000000000029e-05,0,0
