"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.6",47954,"1.2.1.60",53,2,180,1,82,1,98,0.001805,5.000000000000013e-05,0,0
"1.1.0.10",47959,"1.2.1.77",53,2,180,1,82,1,98,0.112682,5.3999999999998494e-05,0,0
"1.1.0.11",47980,"1.2.1.73",53,2,180,1,82,1,98,0.149397,3.999999999998449e-05,0,0
"1.1.0.18",1365,"1.2.0.170",53,2,180,1,82,1,98,0.032,4.499999999999643e-05,0,0
"1.1.0.22",1892,"1.2.181.93",53,2,180,1,82,1,98,0.070536,1.7000000000003124e-05,0,0
"1.1.0.24",48009,"1.2.181.100",53,2,180,1,82,1,98,0.099584,3.099999999998937e-05,0,0
"1.1.0.31",47966,"1.2.1.100",53,2,180,1,82,1,98,0.100551,3.499999999999337e-05,0,0
"1.1.0.38",1899,"1.2.1.92",53,2,180,1,82,1,98,0.00338,3.4999999999999875e-05,0,0
"1.1.0.52",48003,"1.2.181.116",53,2,180,1,82,1,98,0.068185,5.100000000000937e-05,0,0
"1.1.0.62",48019,"1.2.1.127",53,2,180,1,82,1,98,0.125005,2.2999999999995246e-05,0,0
"1.1.0.82",48047,"1.2.1.147",53,2,180,1,82,1,98,0.004198,2.799999999999938e-05,0,0
"1.1.0.97",1961,"1.2.181.157",53,2,180,1,82,1,98,0.114512,2.1999999999994246e-05,0,0
"1.1.0.104",48052,"1.2.1.166",53,2,180,1,82,1,98,0.028738,3.200000000000078e-05,0,0
"1.1.0.106",48083,"1.2.181.180",53,2,180,1,82,1,98,0.113312,2.2000000000008124e-05,0,0
"1.1.0.116",1992,"1.2.1.175",53,2,180,1,82,1,98,0.115742,2.9000000000001247e-05,0,0
"1.1.0.130",2019,"1.2.181.208",53,2,180,1,82,1,98,0.007124,2.8999999999999512e-05,0,0
"1.1.0.157",46105,"1.2.182.9",53,2,180,1,82,1,98,0.162435,5.7000000000001494e-05,0,0
"1.1.0.176",2052,"1.2.1.243",53,2,180,1,82,1,98,0.14779,4.199999999998649e-05,0,0
"1.1.0.177",48108,"1.2.181.241",53,2,180,1,82,1,98,0.026723,1.9999999999999185e-05,0,0
"1.1.0.179",48116,"1.2.181.240",53,2,180,1,82,1,98,0.124698,5.2999999999997494e-05,0,0
"1.1.0.181",48126,"1.2.2.11",53,2,180,1,82,1,98,0.09766,7.999999999999674e-05,0,0
"1.1.0.203",46132,"1.2.2.25",53,2,180,1,82,1,98,0.08022,3.899999999999737e-05,0,0
"1.1.0.217",2106,"1.2.2.27",53,2,180,1,82,1,98,0.149841,2.1999999999994246e-05,0,0
"1.1.0.220",47642,"1.2.1.105",53,2,180,1,82,1,98,0.118818,5.9000000000003494e-05,0,0
"1.1.0.223",2061,"1.2.182.18",53,2,180,1,82,1,98,0.035862,4.900000000000043e-05,0,0
"1.1.1.8",46151,"1.2.182.81",53,2,180,1,82,1,98,0.114271,1.7000000000003124e-05,0,0
"1.1.1.10",46215,"1.2.182.120",53,2,180,1,82,1,98,0.076097,3.400000000000625e-05,0,0
"1.1.1.39",1638,"1.2.1.182",53,2,180,1,82,1,98,0.037283,2.6000000000005186e-05,0,0
"1.1.1.55",46225,"1.2.2.136",53,2,180,1,82,1,98,0.000732,1.5999999999999955e-05,0,0
"1.1.1.55",46195,"1.2.182.112",53,2,180,1,82,1,98,0.108594,1.9000000000005124e-05,0,0
"1.1.1.68",46238,"1.2.182.135",53,2,180,1,82,1,98,0.139919,6.80000000000125e-05,0,0
"1.1.1.75",1649,"1.2.181.209",53,2,180,1,82,1,98,0.12328,4.099999999999937e-05,0,0
"1.1.1.122",2277,"1.2.2.181",53,2,180,1,82,1,98,0.134503,4.899999999999349e-05,0,0
"1.1.1.127",46264,"1.2.2.179",53,2,180,1,82,1,98,0.043627,1.8999999999998185e-05,0,0
"1.1.1.128",46244,"1.2.2.172",53,2,180,1,82,1,98,0.129508,5.3999999999998494e-05,0,0
"1.1.1.129",2293,"1.2.182.211",53,2,180,1,82,1,98,0.072911,4.099999999999937e-05,0,0
"1.1.1.148",47850,"1.2.2.46",53,2,180,1,82,1,98,0.11723,2.8000000000000247e-05,0,0
"1.1.1.159",46309,"1.2.2.213",53,2,180,1,82,1,98,0.107066,4.099999999999937e-05,0,0
"1.1.1.169",2299,"1.2.2.230",53,2,180,1,82,1,98,0.162164,4.399999999998849e-05,0,0
"1.1.1.194",2319,"1.2.3.1",53,2,180,1,82,1,98,0.075264,2.9000000000001247e-05,0,0
"1.1.1.217",46386,"1.2.183.39",53,2,180,1,82,1,98,0.117857,1.9999999999992246e-05,0,0
"1.1.1.224",46387,"1.2.183.24",53,2,180,1,82,1,98,0.090483,4.099999999999937e-05,0,0
"1.1.1.224",46396,"1.2.183.43",53,2,180,1,82,1,98,0.100835,3.400000000000625e-05,0,0
"1.1.1.228",1837,"1.2.182.140",53,2,180,1,82,1,98,0.100146,2.1999999999994246e-05,0,0
