"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.7",16403,"1.2.180.145",16403,1,976,1,976,0,0,0.001765,0,0,0
"1.1.0.12",16403,"1.2.0.120",16403,1,292,1,292,0,0,0.002515,0,0,0
"1.1.0.19",16403,"1.2.0.113",16403,1,976,1,976,0,0,0.002572,0,0,0
"1.1.0.21",16403,"1.2.0.129",16403,1,292,1,292,0,0,0.003036,0,0,0
"1.1.0.37",16403,"1.2.180.146",16403,1,292,1,292,0,0,0.002643,0,0,0
"1.1.0.43",16403,"1.2.180.168",16403,1,292,1,292,0,0,0.003334,0,0,0
"1.1.0.45",16403,"1.2.180.153",16403,1,292,1,292,0,0,0.002137,0,0,0
"1.1.0.58",16403,"1.2.0.152",16403,1,292,1,292,0,0,0.001669,0,0,0
"1.1.0.74",16403,"1.2.0.182",16403,1,292,1,292,0,0,0.003432,0,0,0
"1.1.0.80",16403,"1.2.0.174",16403,1,292,1,292,0,0,0.000406,0,0,0
"1.1.0.87",16403,"1.2.0.192",16403,1,292,1,292,0,0,0.000175,0,0,0
"1.1.0.96",16403,"1.2.0.235",16403,1,292,1,292,0,0,0.002738,0,0,0
"1.1.0.117",16403,"1.2.0.211",16403,1,292,1,292,0,0,0.002968,0,0,0
"1.1.0.122",16403,"1.2.1.2",16403,1,976,1,976,0,0,0.001052,0,0,0
"1.1.0.133",16403,"1.2.0.227",16403,1,292,1,292,0,0,0.002234,0,0,0
"1.1.0.140",16403,"1.2.0.249",16403,1,292,1,292,0,0,0.002528,0,0,0
"1.1.0.147",16403,"1.2.181.5",16403,1,976,1,976,0,0,2.2e-05,0,0,0
"1.1.0.149",16403,"1.2.0.244",16403,1,292,1,292,0,0,0.001065,0,0,0
"1.1.0.153",16403,"1.2.1.177",16403,1,292,1,292,0,0,0.000228,0,0,0
"1.1.0.153",16403,"1.2.181.17",16403,1,292,1,292,0,0,0.000295,0,0,0
"1.1.0.160",16403,"1.2.0.254",16403,1,292,1,292,0,0,0.002588,0,0,0
"1.1.0.176",16403,"1.2.1.202",16403,1,292,1,292,0,0,0.001045,0,0,0
"1.1.0.182",16403,"1.2.1.34",16403,1,292,1,292,0,0,0.002996,0,0,0
"1.1.0.199",16403,"1.2.1.52",16403,1,292,1,292,0,0,0.002868,0,0,0
"1.1.0.234",16403,"1.2.1.100",16403,1,976,1,976,0,0,0.00323,0,0,0
"1.1.0.248",16403,"1.2.1.86",16403,1,976,1,976,0,0,0.001601,0,0,0
"1.1.1.27",16403,"1.2.181.137",16403,1,292,1,292,0,0,0.001244,0,0,0
"1.1.1.33",16403,"1.2.181.141",16403,1,292,1,292,0,0,0.00188,0,0,0
"1.1.1.72",16403,"1.2.1.166",16403,1,292,1,292,0,0,0.001793,0,0,0
"1.1.1.128",16403,"1.2.181.234",16403,1,292,1,292,0,0,0.000927,0,0,0
"1.1.1.142",16403,"1.2.2.17",16403,1,292,1,292,0,0,0.002053,0,0,0
"1.1.1.181",16403,"1.2.182.33",16403,1,292,1,292,0,0,0.000512,0,0,0
"1.1.1.200",16403,"1.2.182.41",16403,1,976,1,976,0,0,0.003034,0,0,0
"1.1.1.209",16403,"1.2.2.78",16403,1,292,1,292,0,0,0.000993,0,0,0
"1.1.1.212",16403,"1.2.182.66",16403,1,976,1,976,0,0,0.00092,0,0,0
"1.1.1.216",16403,"1.2.2.52",16403,1,292,1,292,0,0,0.00209,0,0,0
"1.1.1.228",16403,"1.2.182.92",16403,1,976,1,976,0,0,0.002215,0,0,0
"1.1.2.20",16403,"1.2.3.27",16403,1,976,1,976,0,0,0.003135,0,0,0
"1.1.2.29",16403,"1.2.182.135",16403,1,292,1,292,0,0,0.00305,0,0,0
"1.1.2.67",16403,"1.2.2.175",16403,1,292,1,292,0,0,0.002798,0,0,0
"1.1.2.86",16403,"1.2.182.195",16403,1,292,1,292,0,0,0.000434,0,0,0
"1.1.2.94",16403,"1.2.2.231",16403,1,292,1,292,0,0,0.0012,0,0,0
"1.1.2.98",16403,"1.2.183.126",16403,1,976,1,976,0,0,0.001087,0,0,0
"1.1.2.98",16403,"1.2.2.193",16403,1,292,1,292,0,0,0.002689,0,0,0
"1.1.2.110",16403,"1.2.2.218",16403,1,292,1,292,0,0,0.002993,0,0,0
"1.1.2.111",16403,"1.2.182.217",16403,1,292,1,292,0,0,0.002785,0,0,0
"1.1.2.125",16403,"1.2.2.219",16403,1,976,1,976,0,0,0.003296,0,0,0
"1.1.2.139",16403,"1.2.182.248",16403,1,976,1,976,0,0,0.00288,0,0,0
"1.1.2.169",16403,"1.2.3.5",16403,1,292,1,292,0,0,0.001146,0,0,0
"1.1.2.176",16403,"1.2.183.29",16403,1,292,1,292,0,0,0.00128,0,0,0
"1.1.2.177",16403,"1.2.3.15",16403,1,976,1,976,0,0,0.00332,0,0,0
"1.1.2.180",16403,"1.2.183.179",16403,1,292,1,292,0,0,0.002557,0,0,0
"1.1.2.182",16403,"1.2.3.20",16403,1,292,1,292,0,0,0.003143,0,0,0
"1.1.2.186",16403,"1.2.183.184",16403,1,976,1,976,0,0,0.001599,0,0,0
"1.1.2.195",16403,"1.2.3.48",16403,1,292,1,292,0,0,0.000647,0,0,0
"1.1.2.210",16403,"1.2.183.63",16403,1,292,1,292,0,0,0.000244,0,0,0
"1.1.2.222",16403,"1.2.183.76",16403,1,292,1,292,0,0,3.4e-05,0,0,0
"1.1.2.233",16403,"1.2.3.71",16403,1,292,1,292,0,0,0.002736,0,0,0
"1.1.2.235",16403,"1.2.183.89",16403,1,292,1,292,0,0,0.002218,0,0,0
"1.1.2.237",16403,"1.2.3.92",16403,1,292,1,292,0,0,0.001367,0,0,0
"1.1.3.7",16403,"1.2.183.118",16403,1,292,1,292,0,0,0.001098,0,0,0
"1.1.3.12",16403,"1.2.3.133",16403,1,292,1,292,0,0,0.001878,0,0,0
"1.1.3.31",16403,"1.2.183.138",16403,1,292,1,292,0,0,0.002266,0,0,0
"1.1.3.85",16403,"1.2.3.193",16403,1,292,1,292,0,0,0.003201,0,0,0
