"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.53",45757,"1.2.26.0",80,5,1586,3,1442,2,144,0.017872,0.0005180000000000011,0,0
"1.1.0.60",49321,"1.2.7.238",443,1,878,1,878,0,0,0.024529,0,0,0
"1.1.0.74",46275,"1.2.176.1",443,2,1509,1,1439,1,70,0.016868,5.7999999999999025e-05,0,0
"1.1.0.77",8241,"1.2.27.107",80,5,1586,3,1442,2,144,0.023969,0.0002549999999999983,0,0
"1.1.0.99",1404,"1.2.0.191",443,2,763,1,693,1,70,0.01274,2.700000000000098e-05,0,0
"1.1.0.154",3313,"1.2.8.51",443,7,1698,3,1018,4,680,0.003132,0.0012950000000000006,0,0
"1.1.0.161",1463,"1.2.0.253",443,2,763,1,693,1,70,0.002524,4.49999999999999e-05,0,0
"1.1.0.204",8081,"1.2.26.216",80,5,1586,3,1442,2,144,0.006044,0.00023399999999999983,0,0
"1.1.0.218",49424,"1.2.8.82",443,2,948,1,878,1,70,0.021899,0.00019800000000000026,0,0
"1.1.0.229",8505,"1.2.28.127",80,5,1586,3,1442,2,144,0.001986,0.0008210000000000001,0,0
"1.1.0.232",44132,"1.2.27.172",80,5,1586,3,1442,2,144,0.008721,0.00014899999999999983,0,0
"1.1.1.0",2453,"1.2.4.214",443,2,1509,1,1439,1,70,0.004879,3.4000000000000176e-05,0,0
"1.1.1.58",46528,"1.2.177.3",443,2,140,1,70,1,70,4.4e-05,0.00014399999999999998,0,0
"1.1.1.85",1674,"1.2.181.207",443,2,763,1,693,1,70,0.00968,0.0001860000000000004,0,0
"1.1.1.111",46696,"1.2.177.168",443,2,1509,1,1439,1,70,0.017329,2.2999999999998716e-05,0,0
"1.1.1.117",46644,"1.2.5.117",443,2,1509,1,1439,1,70,0.00153,5.9000000000000025e-05,0,0
"1.1.1.171",44590,"1.2.29.97",80,5,1586,3,1442,2,144,0.007021,0.000268,0,0
"1.1.1.208",44500,"1.2.169.4",80,5,1586,3,1442,2,144,0.023126,0.00018199999999999814,0,0
"1.1.1.212",49614,"1.2.8.245",443,7,3073,3,1579,4,1494,0.020956,0.0013210000000000027,0,0
"1.1.1.221",49737,"1.2.9.144",443,2,948,1,878,1,70,0.023005,3.599999999999784e-05,0,0
"1.1.1.237",8426,"1.2.28.47",80,5,1586,3,1442,2,144,0.003477,0.0007410000000000003,0,0
"1.1.1.245",49687,"1.2.189.92",443,7,1698,3,1018,4,680,0.020214,0.001132000000000001,0,0
"1.1.1.245",8710,"1.2.169.70",80,5,1586,3,1442,2,144,0.02146,0.00023400000000000157,0,0
"1.1.2.0",8629,"1.2.168.252",80,5,1586,3,1442,2,144,0.014289,0.0009350000000000001,0,0
"1.1.2.13",46383,"1.2.183.35",443,1,70,1,70,0,0,1.1e-05,0,0,0
"1.1.2.40",44372,"1.2.168.148",80,5,1586,3,1442,2,144,0.008831,0.00022099999999999898,0,0
"1.1.2.73",1885,"1.2.2.165",443,2,1545,1,1475,1,70,0.012948,0.00011599999999999978,0,0
"1.1.2.86",1894,"1.2.2.178",443,2,1545,1,1475,1,70,0.007085,0.00012399999999999998,0,0
"1.1.2.128",1940,"1.2.2.220",443,2,1526,1,1456,1,70,0.015196,0.0002370000000000011,0,0
"1.1.2.168",48059,"1.2.3.4",443,2,1545,1,1475,1,70,0.020296,4.29999999999979e-05,0,0
"1.1.2.172",48075,"1.2.183.20",443,2,1545,1,1475,1,70,0.008602,0.00010800000000000046,0,0
"1.1.2.180",44526,"1.2.29.50",80,5,1586,3,1442,2,144,0.020737,0.0005760000000000001,0,0
"1.1.2.194",2024,"1.2.3.44",443,2,763,1,693,1,70,0.023383,7.499999999999868e-05,0,0
"1.1.2.212",2494,"1.2.3.189",443,2,1526,1,1456,1,70,0.01402,3.600000000000131e-05,0,0
"1.1.2.221",48115,"1.2.3.57",443,2,1526,1,1456,1,70,0.016444,0.00018400000000000014,0,0
"1.1.2.226",3906,"1.2.190.85",443,2,1509,1,1439,1,70,0.021016,4.099999999999937e-05,0,0
"1.1.2.254",2079,"1.2.3.104",443,2,1526,1,1456,1,70,0.001924,2.0000000000000052e-05,0,0
"1.1.3.39",39933,"1.2.151.61",80,5,1586,3,1442,2,144,0.005267,0.00044399999999999995,0,0
"1.1.3.44",50041,"1.2.190.187",443,2,1545,1,1475,1,70,0.01993,0.00013200000000000017,0,0
"1.1.3.83",48131,"1.2.191.66",443,7,1698,3,1018,4,680,0.023754,0.0006600000000000009,0,0
"1.1.3.91",4190,"1.2.11.148",443,4,1488,2,948,2,540,0.001086,0.015251999999999998,497246.2627852085,283241.5420928403
"1.1.3.118",2199,"1.2.3.226",443,7,2637,3,1596,4,1041,0.001197,0.0008650000000000001,0,0
"1.1.3.122",2216,"1.2.3.241",443,2,763,1,693,1,70,0.010948,4.0000000000000105e-05,0,0
"1.1.3.131",44810,"1.2.170.82",80,5,1586,3,1442,2,144,0.012548,0.0006029999999999994,0,0
"1.1.3.148",46250,"1.2.183.243",443,2,763,1,693,1,70,0.015615,2.9000000000001247e-05,0,0
"1.1.3.156",4094,"1.2.191.63",443,7,1698,3,1018,4,680,0.018569,0.0009060000000000006,0,0
"1.1.3.179",2736,"1.2.4.183",443,2,1526,1,1456,1,70,0.009367,9.099999999999907e-05,0,0
"1.1.3.188",2255,"1.2.4.24",443,2,1545,1,1475,1,70,0.020788,0.00023799999999999863,0,0
"1.1.3.194",46316,"1.2.176.42",443,2,1526,1,1456,1,70,0.014862,3.300000000000004e-05,0,0
"1.1.3.194",8970,"1.2.170.79",80,5,1586,3,1442,2,144,0.024066,0.0003860000000000009,0,0
"1.1.3.241",39100,"1.2.148.2",80,5,1586,3,1442,2,144,0.001054,0.0001739999999999999,0,0
"1.1.3.248",48350,"1.2.184.24",443,2,948,1,878,1,70,0.003861,4.300000000000007e-05,0,0
"1.1.4.12",48289,"1.2.11.229",443,7,1698,3,1018,4,680,0.011637,0.0018250000000000002,0,0
"1.1.4.13",49021,"1.2.186.194",443,7,1698,3,1018,4,680,0.003492,0.0007989999999999998,0,0
"1.1.4.34",46388,"1.2.4.126",443,2,1545,1,1475,1,70,0.003777,0.0003369999999999996,0,0
"1.1.4.39",9008,"1.2.170.119",80,5,1586,3,1442,2,144,0.019722,0.0001260000000000011,0,0
"1.1.4.102",3409,"1.2.188.141",443,2,1509,1,1439,1,70,0.012646,0.00012800000000000138,0,0
"1.1.4.123",48314,"1.2.191.255",443,2,948,1,878,1,70,0.008178,3.099999999999978e-05,0,0
"1.1.4.146",46517,"1.2.4.238",443,2,1545,1,1475,1,70,0.011832,0.00026900000000000014,0,0
"1.1.4.147",49439,"1.2.8.98",443,2,1509,1,1439,1,70,0.009138,7.899999999999921e-05,0,0
"1.1.4.191",2531,"1.2.5.43",443,2,763,1,693,1,70,0.001178,8.799999999999997e-05,0,0
"1.1.4.203",2532,"1.2.5.39",443,2,763,1,693,1,70,0.012552,0.00016499999999999848,0,0
"1.1.4.212",4562,"1.2.13.22",443,2,948,1,878,1,70,0.016337,0.000167999999999998,0,0
"1.1.4.231",3556,"1.2.189.28",443,2,1509,1,1439,1,70,0.009237,1.799999999999892e-05,0,0
"1.1.4.241",5336,"1.2.164.23",443,2,948,1,878,1,70,0.009836,9.200000000000007e-05,0,0
"1.1.5.4",2594,"1.2.5.109",443,2,1526,1,1456,1,70,0.022052,2.7000000000002716e-05,0,0
"1.1.5.12",46626,"1.2.5.104",443,2,1545,1,1475,1,70,0.008097,0.0001349999999999997,0,0
"1.1.5.171",4630,"1.2.185.90",443,2,324,1,254,1,70,0.015593,8.99999999999998e-05,0,0
"1.1.5.184",46795,"1.2.6.20",443,4,2427,2,1526,2,901,0.009578,0.011967000000000002,1020138.7147990305,602323.0550681038
"1.1.5.216",48675,"1.2.13.102",443,2,948,1,878,1,70,0.007502,0.00016799999999999975,0,0
"1.1.5.242",2845,"1.2.6.93",443,2,1526,1,1456,1,70,0.004895,4.49999999999999e-05,0,0
"1.1.5.243",48752,"1.2.13.177",443,7,1698,3,1018,4,680,0.020687,0.0017539999999999986,0,0
"1.1.6.4",46875,"1.2.6.96",443,7,2637,3,1596,4,1041,0.01565,0.000892999999999998,0,0
"1.1.6.46",2885,"1.2.6.138",443,2,1526,1,1456,1,70,0.007101,0.00012700000000000038,0,0
"1.1.6.117",46990,"1.2.178.212",443,2,1545,1,1475,1,70,0.018468,0.00015400000000000136,0,0
"1.1.6.132",10795,"1.2.37.99",80,5,1586,3,1442,2,144,0.017805,0.0005779999999999987,0,0
"1.1.6.140",48935,"1.2.186.110",443,2,948,1,878,1,70,0.002641,0.00017700000000000007,0,0
"1.1.6.154",2990,"1.2.6.246",443,2,1526,1,1456,1,70,0.021668,0.00010500000000000093,0,0
"1.1.6.195",43150,"1.2.187.208",443,2,324,1,254,1,70,0.02207,9.400000000000033e-05,0,0
"1.1.6.235",50147,"1.2.191.36",443,2,1509,1,1439,1,70,0.009236,4.0000000000000105e-05,0,0
"1.1.7.0",39669,"1.2.34.55",80,5,1586,3,1442,2,144,0.019539,0.0007419999999999996,0,0
"1.1.7.13",43317,"1.2.16.124",443,7,1698,3,1018,4,680,0.019608,0.001298999999999998,0,0
"1.1.7.28",43050,"1.2.15.114",443,7,1698,3,1018,4,680,0.003441,0.0010040000000000001,0,0
"1.1.7.45",4992,"1.2.186.189",443,2,948,1,878,1,70,0.022129,5.9000000000000025e-05,0,0
"1.1.7.62",3150,"1.2.7.154",443,2,1526,1,1456,1,70,0.011852,4.700000000000017e-05,0,0
"1.1.7.119",49334,"1.2.7.211",443,2,1545,1,1475,1,70,0.01205,6.800000000000035e-05,0,0
"1.1.7.122",43165,"1.2.187.226",443,2,948,1,878,1,70,0.021669,0.0002659999999999989,0,0
"1.1.7.135",10393,"1.2.151.219",80,5,1586,3,1442,2,144,0.011988,0.00035299999999999915,0,0
"1.1.7.185",3301,"1.2.8.35",443,2,1526,1,1456,1,70,0.002242,6.300000000000012e-05,0,0
"1.1.7.230",43111,"1.2.187.170",443,2,948,1,878,1,70,0.002927,6.400000000000025e-05,0,0
"1.1.7.247",5143,"1.2.187.91",443,7,1698,3,1018,4,680,0.022391,0.0010899999999999972,0,0
"1.1.8.7",3387,"1.2.8.117",443,2,763,1,693,1,70,0.003145,3.600000000000001e-05,0,0
"1.1.8.22",39746,"1.2.34.131",80,5,1586,3,1442,2,144,0.007987,0.0009729999999999999,0,0
"1.1.8.45",4348,"1.2.184.66",443,2,1509,1,1439,1,70,0.024068,6.600000000000009e-05,0,0
"1.1.8.48",5240,"1.2.187.157",443,2,1509,1,1439,1,70,0.022912,3.500000000000031e-05,0,0
"1.1.8.54",4355,"1.2.184.68",443,4,2863,2,1509,2,1354,0.00562,0.014103999999999998,855927.3964832673,768009.0754395917
"1.1.8.59",41986,"1.2.167.74",443,7,1698,3,1018,4,680,0.016739,0.002158,0,0
"1.1.8.75",4448,"1.2.184.149",443,2,1509,1,1439,1,70,0.003136,2.8999999999999946e-05,0,0
"1.1.8.123",4244,"1.2.8.215",443,2,763,1,693,1,70,0.018416,0.00011600000000000152,0,0
"1.1.8.127",49552,"1.2.8.219",443,2,1545,1,1475,1,70,0.00238,4.7999999999999866e-05,0,0
"1.1.8.166",10205,"1.2.35.33",80,5,1586,3,1442,2,144,0.021618,0.0005290000000000017,0,0
"1.1.9.8",5640,"1.2.17.76",443,7,1698,3,1018,4,680,0.003995,0.008664999999999999,939873.0525100982,627813.0409694173
"1.1.9.17",6301,"1.2.19.227",443,2,948,1,878,1,70,0.022582,0.0001910000000000002,0,0
"1.1.9.32",6330,"1.2.167.243",443,2,948,1,878,1,70,0.007818,2.6999999999999247e-05,0,0
"1.1.9.74",48664,"1.2.13.92",443,2,1509,1,1439,1,70,0.022559,4.099999999999937e-05,0,0
"1.1.9.78",43569,"1.2.165.115",443,7,1698,3,1018,4,680,0.011332,0.0016959999999999996,0,0
"1.1.9.88",3689,"1.2.9.180",443,2,1526,1,1456,1,70,0.022721,3.899999999999737e-05,0,0
"1.1.9.91",38210,"1.2.36.135",80,5,1586,3,1442,2,144,0.010207,0.0008659999999999987,0,0
"1.1.9.104",49804,"1.2.9.196",443,2,763,1,693,1,70,0.021035,5.9000000000000025e-05,0,0
"1.1.9.111",3712,"1.2.9.203",443,2,1526,1,1456,1,70,0.005455,0.0002390000000000005,0,0
"1.1.9.113",3741,"1.2.9.219",443,2,1526,1,1456,1,70,0.009248,1.899999999999992e-05,0,0
"1.1.9.118",3722,"1.2.9.210",443,2,763,1,693,1,70,0.008261,8.700000000000027e-05,0,0
"1.1.9.161",3735,"1.2.9.253",443,2,1545,1,1475,1,70,0.020574,4.000000000000184e-05,0,0
"1.1.9.164",3769,"1.2.10.0",443,2,1526,1,1456,1,70,0.018137,6.199999999999956e-05,0,0
"1.1.9.169",5720,"1.2.17.152",443,2,948,1,878,1,70,0.014054,0.0002859999999999998,0,0
"1.1.9.170",43525,"1.2.165.76",443,2,948,1,878,1,70,0.010978,0.00016799999999999975,0,0
"1.1.9.209",48850,"1.2.14.12",443,2,1509,1,1439,1,70,0.00344,0.0002149999999999999,0,0
"1.1.9.239",10384,"1.2.35.210",80,3,218,2,144,1,74,0.024075,0.000172000000000002,0,0
"1.1.10.17",43714,"1.2.18.8",443,2,948,1,878,1,70,0.019108,8.299999999999974e-05,0,0
"1.1.10.29",11127,"1.2.146.187",80,5,1586,3,1442,2,144,0.003559,0.00020399999999999975,0,0
"1.1.10.74",48966,"1.2.186.138",443,2,1509,1,1439,1,70,0.011122,2.8999999999999512e-05,0,0
"1.1.10.95",48959,"1.2.14.128",443,2,1509,1,1439,1,70,0.011454,0.00027699999999999947,0,0
"1.1.10.138",43757,"1.2.18.47",443,2,1545,1,1475,1,70,0.000702,3.0999999999999995e-05,0,0
"1.1.10.138",50077,"1.2.10.230",443,7,2637,3,1596,4,1041,0.002638,0.006084000000000001,2098619.32938856,1368836.2919132148
"1.1.10.141",38425,"1.2.37.91",80,5,1586,3,1442,2,144,0.004295,0.0006179999999999996,0,0
"1.1.10.151",11997,"1.2.158.34",80,5,1586,3,1442,2,144,0.015682,0.00036499999999999727,0,0
"1.1.10.171",4971,"1.2.186.175",443,7,3073,3,1579,4,1494,0.005642,0.0018439999999999993,0,0
"1.1.10.171",43818,"1.2.18.105",443,2,948,1,878,1,70,0.012811,6.500000000000082e-05,0,0
"1.1.10.178",5025,"1.2.14.226",443,2,1509,1,1439,1,70,0.002531,0.00012399999999999998,0,0
"1.1.10.195",5053,"1.2.186.248",443,2,1509,1,1439,1,70,0.010652,3.300000000000004e-05,0,0
"1.1.10.197",41259,"1.2.40.115",80,2,140,1,70,1,70,0.000187,7.000000000000002e-05,0,0
"1.1.10.252",5941,"1.2.18.116",443,2,324,1,254,1,70,0.023905,2.5000000000000716e-05,0,0
"1.1.10.254",48149,"1.2.11.90",443,2,1526,1,1456,1,70,0.00717,2.8000000000000247e-05,0,0
"1.1.11.6",5067,"1.2.15.14",443,2,1509,1,1439,1,70,0.011545,0.00016299999999999995,0,0
