"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.5",1316,"1.2.0.140",53,1,84,1,84,0,0,0.092396,0,0,0
"1.1.0.11",1849,"1.2.181.62",53,2,184,1,84,1,100,0.010218,2.599999999999998e-05,0,0
"1.1.0.19",47911,"1.2.181.76",53,2,184,1,84,1,100,0.007079,1.6999999999999654e-05,0,0
"1.1.0.35",1379,"1.2.0.175",53,2,184,1,84,1,100,0.023084,1.5999999999998654e-05,0,0
"1.1.0.48",47465,"1.2.0.179",53,2,184,1,84,1,100,0.025573,4.100000000000284e-05,0,0
"1.1.0.49",47965,"1.2.1.96",53,2,184,1,84,1,100,0.059469,4.799999999999943e-05,0,0
"1.1.0.50",1922,"1.2.181.129",53,2,184,1,84,1,100,0.043111,2.9000000000001247e-05,0,0
"1.1.0.65",1933,"1.2.1.122",53,2,184,1,84,1,100,0.064119,1.6000000000002124e-05,0,0
"1.1.0.82",47993,"1.2.181.135",53,2,184,1,84,1,100,0.000657,3.899999999999997e-05,0,0
"1.1.0.84",1386,"1.2.0.205",53,2,184,1,84,1,100,0.069114,3.999999999999837e-05,0,0
"1.1.0.105",48055,"1.2.1.156",53,2,184,1,84,1,100,0.026425,5.199999999999996e-05,0,0
"1.1.0.108",47981,"1.2.1.125",53,2,184,1,84,1,100,0.023233,4.900000000000043e-05,0,0
"1.1.0.109",48037,"1.2.1.166",53,2,184,1,84,1,100,0.023163,1.5000000000001124e-05,0,0
"1.1.0.121",47867,"1.2.181.152",53,2,184,1,84,1,100,0.08688,2.8000000000000247e-05,0,0
"1.1.0.128",48047,"1.2.1.189",53,2,184,1,84,1,100,0.009528,3.7000000000000574e-05,0,0
"1.1.0.131",48102,"1.2.1.211",53,2,184,1,84,1,100,0.07842,4.099999999999937e-05,0,0
"1.1.0.138",2002,"1.2.181.204",53,2,184,1,84,1,100,0.002048,2.599999999999998e-05,0,0
"1.1.0.150",48074,"1.2.1.212",53,2,184,1,84,1,100,0.025864,3.499999999999684e-05,0,0
"1.1.0.160",1934,"1.2.181.165",53,2,184,1,84,1,100,0.034139,7.599999999999968e-05,0,0
"1.1.0.173",48084,"1.2.181.231",53,2,184,1,84,1,100,0.014935,4.49999999999999e-05,0,0
"1.1.0.187",2016,"1.2.181.247",53,2,184,1,84,1,100,0.036963,1.1999999999998123e-05,0,0
"1.1.0.192",46122,"1.2.2.19",53,2,184,1,84,1,100,0.048459,2.2999999999995246e-05,0,0
"1.1.0.200",2024,"1.2.181.229",53,2,184,1,84,1,100,0.019221,3.099999999999978e-05,0,0
"1.1.0.208",2085,"1.2.2.19",53,2,184,1,84,1,100,0.052844,3.899999999999737e-05,0,0
"1.1.0.218",2038,"1.2.181.255",53,2,184,1,84,1,100,0.006201,2.8000000000000247e-05,0,0
"1.1.0.222",47668,"1.2.181.130",53,2,184,1,84,1,100,0.001616,2.3000000000000017e-05,0,0
"1.1.0.222",2100,"1.2.182.44",53,2,184,1,84,1,100,0.070926,2.3999999999996247e-05,0,0
"1.1.0.224",2095,"1.2.182.33",53,2,184,1,84,1,100,0.010261,3.100000000000151e-05,0,0
"1.1.0.226",2051,"1.2.2.16",53,2,184,1,84,1,100,0.020809,3.500000000000031e-05,0,0
"1.1.0.237",47681,"1.2.181.131",53,2,184,1,84,1,100,0.026946,4.099999999999937e-05,0,0
"1.1.0.247",46149,"1.2.182.72",53,2,184,1,84,1,100,0.091148,2.6999999999999247e-05,0,0
"1.1.1.7",2117,"1.2.182.80",53,2,184,1,84,1,100,0.019599,3.400000000000278e-05,0,0
"1.1.1.8",46172,"1.2.182.67",53,2,184,1,84,1,100,0.055275,2.4000000000003185e-05,0,0
"1.1.1.28",46201,"1.2.2.100",53,2,184,1,84,1,100,0.07706,1.4000000000000123e-05,0,0
"1.1.1.41",47710,"1.2.1.197",53,2,184,1,84,1,100,0.06452,5.9000000000003494e-05,0,0
"1.1.1.51",46161,"1.2.2.87",53,2,184,1,84,1,100,0.038068,5.6000000000000494e-05,0,0
"1.1.1.60",46187,"1.2.2.122",53,2,184,1,84,1,100,0.041959,2.1999999999994246e-05,0,0
"1.1.1.64",46197,"1.2.2.120",53,2,184,1,84,1,100,0.035008,3.399999999999931e-05,0,0
"1.1.1.66",1638,"1.2.1.201",53,2,184,1,84,1,100,0.079102,4.200000000000037e-05,0,0
"1.1.1.70",46210,"1.2.2.127",53,2,184,1,84,1,100,0.065396,3.0000000000002247e-05,0,0
"1.1.1.71",2190,"1.2.2.134",53,2,184,1,84,1,100,0.0817,2.5999999999998247e-05,0,0
"1.1.1.72",2154,"1.2.182.114",53,2,184,1,84,1,100,0.037115,2.6999999999999247e-05,0,0
"1.1.1.73",2193,"1.2.182.135",53,2,184,1,84,1,100,0.077928,1.4000000000000123e-05,0,0
"1.1.1.80",46204,"1.2.2.130",53,2,184,1,84,1,100,0.014744,6.300000000000056e-05,0,0
"1.1.1.89",2179,"1.2.182.128",53,2,184,1,84,1,100,0.076576,4.899999999999349e-05,0,0
