"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.1.17",41651,"1.2.146.176",443,3,218,2,144,1,74,0.012878,0.00033299999999999996,0,0
"1.1.1.18",41969,"1.2.147.77",443,2,216,1,146,1,70,0.019862,0.0001789999999999986,0,0
"1.1.5.245",39968,"1.2.159.101",443,1,70,1,70,0,0,3.7e-05,0,0,0
"1.1.7.190",41718,"1.2.42.59",443,1,70,1,70,0,0,9.1e-05,0,0,0
"1.1.8.12",15638,"1.2.44.208",443,3,218,2,144,1,74,0.010949,0.00013400000000000044,0,0
"1.1.10.214",14224,"1.2.134.205",443,1,70,1,70,0,0,8.3e-05,0,0,0
"1.1.13.224",14691,"1.2.52.168",443,1,70,1,70,0,0,7.3e-05,0,0,0
"1.1.20.205",15124,"1.2.130.90",443,1,70,1,70,0,0,6.9e-05,0,0,0
"1.1.23.153",17473,"1.2.143.31",443,3,218,2,144,1,74,0.012884,0.00025799999999999955,0,0
"1.1.29.54",64348,"1.2.66.149",443,1,70,1,70,0,0,8e-06,0,0,0
"1.1.36.118",64711,"1.2.76.7",443,1,70,1,70,0,0,8.1e-05,0,0,0
"1.1.37.200",1850,"1.2.254.122",443,1,70,1,70,0,0,3e-05,0,0,0
"1.1.37.211",21662,"1.2.248.196",443,2,280,1,210,1,70,0.000151,0.000237,0,0
"1.1.39.162",21713,"1.2.248.212",443,2,216,1,146,1,70,0.009364,0.00019399999999999973,0,0
"1.1.41.165",59536,"1.2.79.210",443,1,70,1,70,0,0,9.9e-05,0,0,0
"1.1.41.184",22899,"1.2.80.233",443,3,218,2,144,1,74,0.002409,0.000255,0,0
"1.1.45.226",29023,"1.2.108.144",443,1,70,1,70,0,0,2.8e-05,0,0,0
"1.1.49.28",61732,"1.2.236.106",443,1,70,1,70,0,0,3.1e-05,0,0,0
"1.1.49.118",23896,"1.2.85.112",443,3,218,2,144,1,74,0.002325,8.5e-05,0,0
"1.1.49.230",23459,"1.2.86.233",443,1,70,1,70,0,0,5.7e-05,0,0,0
"1.1.53.187",60652,"1.2.232.48",443,1,70,1,70,0,0,1.4e-05,0,0,0
"1.1.58.41",57335,"1.2.97.112",443,2,700,1,630,1,70,0.014712,0.00016000000000000042,0,0
"1.1.60.13",61159,"1.2.234.42",443,1,70,1,70,0,0,2.1e-05,0,0,0
"1.1.65.63",56442,"1.2.223.192",443,1,70,1,70,0,0,3.9e-05,0,0,0
"1.1.67.75",27584,"1.2.103.5",443,1,70,1,70,0,0,8.3e-05,0,0,0
"1.1.69.174",56440,"1.2.223.182",443,1,70,1,70,0,0,4.9e-05,0,0,0
"1.1.72.72",29855,"1.2.111.227",443,1,70,1,70,0,0,1.2e-05,0,0,0
"1.1.73.228",1501,"1.2.113.197",443,3,218,2,144,1,74,0.011324,0.0001289999999999989,0,0
"1.1.74.123",31892,"1.2.114.117",443,3,218,2,144,1,74,0.01923,0.00018800000000000067,0,0
"1.1.75.56",51926,"1.2.198.28",443,1,70,1,70,0,0,3.8e-05,0,0,0
"1.1.77.87",52899,"1.2.199.4",443,2,280,1,210,1,70,0.010343,0.00015800000000000015,0,0
"1.1.81.51",31124,"1.2.116.218",443,1,70,1,70,0,0,1.5e-05,0,0,0
"1.1.81.222",32556,"1.2.119.65",443,2,687,1,617,1,70,0.008161,0.00011500000000000052,0,0
"1.1.82.242",31723,"1.2.119.40",443,1,70,1,70,0,0,2.9e-05,0,0,0
"1.1.94.176",2772,"1.2.183.15",443,2,280,1,210,1,70,0.009365,0.00014899999999999983,0,0
"1.1.95.175",47820,"1.2.2.14",443,1,70,1,70,0,0,2.3e-05,0,0,0
"1.1.115.213",45858,"1.2.166.173",443,3,218,2,144,1,74,0.005103,0.00012899999999999977,0,0
"1.1.116.207",44445,"1.2.173.225",443,2,216,1,146,1,70,0.005816,0.00019800000000000026,0,0
"1.1.122.176",38611,"1.2.38.27",443,1,70,1,70,0,0,3.2e-05,0,0,0
"1.1.124.33",9991,"1.2.150.75",443,1,70,1,70,0,0,5.8e-05,0,0,0
"1.1.124.127",10218,"1.2.35.50",443,1,70,1,70,0,0,2.3e-05,0,0,0
