"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.54",1361,"1.2.180.153",443,2,274,1,204,1,70,1.752595,0.19860999999999995,8217.108906902977,2819.596193545139
"1.1.0.96",1394,"1.2.180.181",443,2,274,1,204,1,70,1.644351,0.06753600000000004,24164.889836531613,8291.873963515749
"1.1.0.186",48117,"1.2.181.207",443,2,274,1,204,1,70,1.640991,0.030631000000000075,53279.35751362985,18282.132480167107
"1.1.0.201",47628,"1.2.181.62",443,2,274,1,204,1,70,0.351263,0.144526,11292.085853064502,3874.735341737819
"1.1.0.203",1505,"1.2.181.32",443,2,274,1,204,1,70,0.23614,0.08678900000000003,18804.226342047947,6452.430607565472
"1.1.1.86",1699,"1.2.181.188",443,2,274,1,204,1,70,0.347896,0.267892,6092.007226792886,2090.394636644618
"1.1.1.89",47758,"1.2.1.194",443,2,274,1,204,1,70,1.839734,0.22069399999999995,7394.8544138037305,2537.4500439522603
"1.1.1.190",47823,"1.2.182.19",443,1,70,1,70,0,0,0.148575,0,0,0
"1.1.1.221",1810,"1.2.2.71",443,2,274,1,204,1,70,0.313899,0.12347200000000003,13217.571595179472,4535.441233640015
"1.1.2.10",47898,"1.2.182.95",443,2,274,1,204,1,70,0.351205,0.041918999999999984,38932.22643669936,13359.097306710566
"1.1.2.232",46082,"1.2.183.61",443,2,274,1,204,1,70,0.146658,0.262187,6224.564909778135,2135.8801161003407
"1.1.3.7",46216,"1.2.3.124",443,2,274,1,204,1,70,1.857523,0.14245099999999988,11456.5710314424,3931.1763343184707
"1.1.3.39",2109,"1.2.183.124",443,2,274,1,204,1,70,0.354594,0.043101,37864.55070648013,12992.73798751769
"1.1.3.120",2170,"1.2.183.205",443,2,274,1,204,1,70,1.8399839999999998,0.015488000000000168,105371.90082644514,36157.02479338804
"1.1.3.183",2249,"1.2.4.16",443,1,70,1,70,0,0,0.214149,0,0,0
"1.1.4.1",2319,"1.2.176.86",443,2,274,1,204,1,70,1.839906,0.2453050000000001,6652.942255559403,2282.872342593913
"1.1.4.54",2411,"1.2.176.139",443,2,274,1,204,1,70,0.257013,0.07543500000000003,21634.519785245568,7423.609730231322
"1.1.4.142",46480,"1.2.176.227",443,2,274,1,204,1,70,1.8398409999999998,0.22380600000000017,7292.029704297466,2502.1670553961894
"1.1.4.203",46554,"1.2.177.32",443,2,274,1,204,1,70,0.247256,0.07886099999999999,20694.639936090087,7101.101938854441
"1.1.5.19",46656,"1.2.5.122",443,2,274,1,204,1,70,1.6411470000000001,0.13141099999999994,12419.051677561245,4261.439301123956
"1.1.5.23",46652,"1.2.177.108",443,2,274,1,204,1,70,1.641,0.23999000000000015,6800.283345139376,2333.430559606649
"1.1.5.86",46694,"1.2.177.171",443,2,274,1,204,1,70,1.6247340000000001,0.15123699999999984,10791.01013640843,3702.797595826422
"1.1.5.95",4170,"1.2.179.215",443,2,274,1,204,1,70,0.236118,0.04247099999999998,38426.22024440208,13185.467730922282
"1.1.5.170",2743,"1.2.177.255",443,2,274,1,204,1,70,1.68295,0.26800099999999993,6089.529516680909,2089.5444419983514
"1.1.6.168",3544,"1.2.179.208",443,1,70,1,70,0,0,0.179848,0,0,0
"1.1.6.191",3036,"1.2.179.20",443,1,70,1,70,0,0,0.061338,0,0,0
"1.1.6.195",49222,"1.2.179.71",443,2,274,1,204,1,70,1.7559420000000001,0.123475,13217.250455557805,4535.331038671796
"1.1.7.72",49756,"1.2.188.113",443,2,274,1,204,1,70,0.326759,0.13638699999999998,11965.949833928455,4105.963178308783
"1.1.7.119",49285,"1.2.179.204",443,2,274,1,204,1,70,1.62477,0.3356540000000001,4862.149713693266,1668.3847056790619
"1.1.7.204",3291,"1.2.188.33",443,2,274,1,204,1,70,1.65629,0.1257870000000001,12974.313720813747,4451.970394396874
"1.1.7.207",3294,"1.2.188.36",443,2,274,1,204,1,70,0.344608,0.11382099999999995,14338.303125082373,4920.005974292971
"1.1.7.207",3279,"1.2.188.36",443,2,274,1,204,1,70,1.680353,0.2448379999999999,6665.63196889372,2287.2266559929435
"1.1.8.36",3383,"1.2.188.121",443,2,274,1,204,1,70,1.599838,0.1537639999999998,10613.66769855104,3641.944798522416
"1.1.8.141",3656,"1.2.188.244",443,1,70,1,70,0,0,0.024116,0,0,0
