"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"1.1.0.11",1388,"1.2.180.154",3724,18,1711,9,758,9,953,0.052468,0.0004720000000000002,0,0
"1.1.0.18",47426,"1.2.180.117",3724,18,1711,9,758,9,953,0.021447,0.0007469999999999977,0,0
"1.1.0.20",1779,"1.2.1.24",3724,18,1733,9,756,9,977,0.012492,0.0007790000000000002,0,0
"1.1.0.22",47444,"1.2.0.124",3724,18,1733,9,756,9,977,0.07546,0.0008419999999999955,0,0
"1.1.0.29",1849,"1.2.181.17",3724,18,1711,9,758,9,953,0.032373,0.0005179999999999976,0,0
"1.1.0.38",1419,"1.2.180.173",3724,18,1733,9,756,9,977,0.059403,0.0008930000000000049,0,0
"1.1.0.47",47454,"1.2.180.146",3724,18,1711,9,758,9,953,0.074422,0.0007309999999999955,0,0
"1.1.0.55",47434,"1.2.0.156",3724,18,1711,9,758,9,953,0.008394,0.0009119999999999996,0,0
"1.1.0.55",1393,"1.2.180.158",3724,18,1733,9,756,9,977,0.018498,0.0007589999999999993,0,0
"1.1.0.73",1888,"1.2.1.67",3724,18,1733,9,756,9,977,0.032373,0.0005889999999999992,0,0
"1.1.0.79",1914,"1.2.1.101",3724,18,1711,9,758,9,953,0.061373,0.0005330000000000057,0,0
"1.1.0.82",47527,"1.2.180.182",3724,18,1733,9,756,9,977,0.009378,0.0009630000000000003,0,0
"1.1.0.88",1969,"1.2.181.137",3724,18,1711,9,758,9,953,0.003373,0.0008310000000000001,0,0
"1.1.0.91",47792,"1.2.181.1",3724,18,1711,9,758,9,953,0.027401,0.0008580000000000011,0,0
"1.1.0.94",47472,"1.2.180.194",3724,18,1711,9,758,9,953,0.043456,0.0005889999999999992,0,0
"1.1.0.95",1564,"1.2.0.244",3724,18,1733,9,756,9,977,0.069453,0.0008210000000000023,0,0
"1.1.0.115",47513,"1.2.0.219",3724,18,1733,9,756,9,977,0.061424,0.0009689999999999976,0,0
"1.1.0.122",1542,"1.2.180.222",3724,18,1733,9,756,9,977,0.05438,0.0010710000000000025,0,0
"1.1.0.126",48031,"1.2.1.141",3724,18,1733,9,756,9,977,0.032373,0.0006929999999999992,0,0
"1.1.0.136",1542,"1.2.0.250",3724,18,1711,9,758,9,953,0.031442,0.0005860000000000032,0,0
"1.1.0.142",1460,"1.2.0.245",3724,18,1711,9,758,9,953,0.053396,0.0007110000000000033,0,0
"1.1.0.149",1841,"1.2.181.98",3724,18,1733,9,756,9,977,0.040455,0.0006090000000000054,0,0
"1.1.0.169",1948,"1.2.181.154",3724,18,1733,9,756,9,977,0.028494,0.000734000000000002,0,0
"1.1.0.184",1494,"1.2.1.29",3724,18,1733,9,756,9,977,0.048426,0.0014130000000000045,0,0
"1.1.0.199",47616,"1.2.181.29",3724,18,1733,9,756,9,977,0.054379,0.0007060000000000052,0,0
"1.1.0.225",2087,"1.2.181.247",3724,18,1711,9,758,9,953,0.032373,0.0009670000000000026,0,0
"1.1.0.229",1605,"1.2.181.102",3724,18,1711,9,758,9,953,0.075405,0.0008439999999999975,0,0
"1.1.0.233",1987,"1.2.1.220",3724,18,1711,9,758,9,953,0.066505,0.0007590000000000097,0,0
"1.1.0.238",48087,"1.2.1.217",3724,18,1733,9,756,9,977,0.0185,0.0006360000000000011,0,0
"1.1.0.251",2056,"1.2.182.19",3724,18,1733,9,756,9,977,0.019374,0.0007799999999999994,0,0
"1.1.1.4",1660,"1.2.181.124",3724,18,1711,9,758,9,953,0.05438,0.0006680000000000019,0,0
"1.1.1.13",48105,"1.2.1.250",3724,18,1733,9,756,9,977,0.026419,0.0006059999999999989,0,0
"1.1.1.20",47903,"1.2.181.175",3724,18,1733,9,756,9,977,0.007413,0.0008180000000000002,0,0
"1.1.1.20",1699,"1.2.1.123",3724,18,1733,9,756,9,977,0.02538,0.0009049999999999996,0,0
"1.1.1.37",1604,"1.2.1.138",3724,18,1733,9,756,9,977,0.028493,0.0007089999999999978,0,0
"1.1.1.37",47725,"1.2.181.139",3724,18,1711,9,758,9,953,0.059404,0.0007969999999999991,0,0
"1.1.1.38",46134,"1.2.182.25",3724,18,1711,9,758,9,953,0.061373,0.0008170000000000052,0,0
"1.1.1.44",47741,"1.2.181.146",3724,18,1711,9,758,9,953,0.045478,0.0008820000000000008,0,0
"1.1.1.50",1629,"1.2.1.153",3724,18,1711,9,758,9,953,0.02243,0.0006480000000000027,0,0
"1.1.1.52",48114,"1.2.2.7",3724,18,1711,9,758,9,953,0.009489,0.0007400000000000011,0,0
"1.1.1.54",48108,"1.2.2.26",3724,18,1733,9,756,9,977,0.037451,0.0006080000000000044,0,0
"1.1.1.57",47803,"1.2.1.185",3724,18,1733,9,756,9,977,0.028438,0.000781999999999998,0,0
"1.1.1.59",1924,"1.2.1.214",3724,18,1733,9,756,9,977,0.071474,0.0008530000000000065,0,0
"1.1.1.75",1942,"1.2.2.0",3724,18,1733,9,756,9,977,0.026419,0.0009879999999999993,0,0
"1.1.1.97",1733,"1.2.181.229",3724,18,1733,9,756,9,977,0.0345,0.0007999999999999952,0,0
"1.1.1.97",2217,"1.2.182.128",3724,18,1711,9,758,9,953,0.061373,0.0007990000000000011,0,0
"1.1.1.101",47756,"1.2.181.202",3724,18,1733,9,756,9,977,0.026472,0.0005920000000000022,0,0
"1.1.1.102",1708,"1.2.1.221",3724,18,1733,9,756,9,977,0.027401,0.0007570000000000007,0,0
"1.1.1.109",1681,"1.2.181.211",3724,18,1733,9,756,9,977,0.01047,0.0007519999999999992,0,0
"1.1.1.111",46223,"1.2.182.133",3724,18,1711,9,758,9,953,0.061373,0.0007419999999999996,0,0
