Benchmark	TargetClockPeriod	BRAM_18K	DSP48E	FF	LUT	Clocks	Lut_as_Logic	Register	CARRY8	Lut_as_Shift_Register	Others	Block_RAM	IO	DSPs	F7_F8_Muxes 	Power
backprop_forward	5	140	34	5286	7934	3	7150	5076	521	124	864	73.5	309	34	433	2.927
backprop_forward	5	133	34	5472	7980	3	7106	5182	527	121	868	66.5	309	34	433	2.952
backprop_forward	5	358	484	62343	96920	3	94196	53894	7529	1290	12353	179	309	484	7021	6.643
cfd_step_factor	5	2	19	7308	9866	3	9055	7023	1045	183	1700	1	309	19	3	2.976
cfd_step_factor	4.55	17	19	7844	10030	3	8965	7339	1023	190	1737	9.5	309	19	13	3.021
cfd_step_factor	4.55	17	32	7676	8019	3	6923	6464	774	363	1631	9.5	309	32	0	2.947
cfd_step_factor	4.55	114	608	169379	201848	3	190456	137961	23779	4899	43082	57	309	608	272	14.059
cfd_step_factor	4.55	450	608	169462	219388	3	196183	141467	23788	4900	43795	225	309	608	304	14.862
cfd_step_factor	4.55	17	21	6086	7834	3	6699	5765	757	210	1502	9.5	309	21	0	2.816
cfd_step_factor	4.55	17	18	5663	6273	3	5206	5333	536	217	1137	9.5	309	18	0	2.813
cfd_step_factor	4.55	17	18	5690	6243	3	5201	5297	536	234	1137	9.5	309	18	0	2.817
cfd_step_factor	4.55	17	18	5854	6225	3	5185	5429	536	237	1137	9.5	309	18	0	2.817
cfd_step_factor	4.55	17	24	6591	7130	3	6001	5907	650	281	1357	9.5	309	24	0	2.893
cfd_step_factor	4.55	17	32	7676	8019	3	6921	6464	774	363	1631	9.5	309	32	0	2.951
kmeans	5	2	5	1656	1785	3	1150	1958	67	42	143	1	309	5	2	2.657
kmeans	5	258	5	2198	2864	3	1833	2343	83	60	160	129.5	309	5	0	2.731
kmeans	5	275	1191	131989	94797	3	89191	101964	4019	492	23510	137.5	309	1191	0	7.803
kmeans	5	275	1191	131989	94797	3	89191	101964	4019	492	23510	137.5	309	1191	0	7.803
kmeans	5	821	1193	134490	100700	3	91948	104043	4112	606	23746	410.5	309	1193	0	9.079
kmeans	4.17	282	7	13329	6114	3	4207	13433	86	42	277	141	309	7	544	2.969
kmeans	4.17	275	153	52809	26932	3	25931	43233	590	3037	3250	137.5	309	153	0	3.941
kmeans	4.17	282	7	13329	6114	3	4207	13433	86	42	277	141	309	7	544	2.969
kmeans	4.17	275	300	65215	41122	3	36124	52774	1080	5166	6266	137.5	309	300	0	4.65
kmeans	4.17	275	596	89170	68006	3	56127	70571	2063	9257	12299	137.5	309	596	0	4.973
kmeans	4.17	275	1191	125898	93299	3	85592	94851	4019	503	23815	137.5	309	1191	0	9.111
kmeans	6	282	239	36711	27247	3	21856	30036	846	496	4765	141	309	239	32	3.653
kmeans	6	275	1191	130881	94797	3	91957	95684	4019	453	23170	137.5	309	1191	0	6.665
kmeans	6	275	11	14846	8532	3	5649	14341	111	47	302	137.5	309	11	1602	2.853
kmeans	6	275	11	14846	8532	3	5649	14341	111	47	302	137.5	309	11	1602	2.853
kmeans	6	282	72	22812	16619	3	11818	20793	409	42	2176	141	309	72	0	2.798
kmeans	6	275	26	14901	7910	3	7320	14641	131	42	582	137.5	309	26	0	2.767
kmeans	6	275	1191	130881	94797	3	91963	95684	4019	453	23170	137.5	309	1191	0	6.67
kmeans	6	275	1191	130881	94797	3	91957	95684	4019	453	23170	137.5	309	1191	0	6.665
kmeans	6	275	1191	130881	94797	3	91963	95684	4019	453	23170	137.5	309	1191	0	6.67
kmeans	6	275	1191	130881	94797	3	91963	95684	4019	453	23170	137.5	309	1191	0	6.67
kmeans	6	275	1191	130881	94797	3	91957	95684	4019	453	23170	137.5	309	1191	0	6.665
knn	5	2	5	1396	1471	3	1015	1778	53	40	124	1	309	5	2	2.665
